timestamp,IFPID,Outcome,User ID,Screen Name,IP addr,Op Type,Order ID,isBuy,isLong,With MM,By Agent,Matching Order ID,Matching User ID,Matching Screen Name,Order Price,Order Qty,Trade Price,Trade Qty,Low Fuse,Max Bid,Min Ask,High Fuse,Min Qty,Divest Only
2020-04-24 15:39:48,"SP2K3K","a",2,"synt","5.49.164.229","trade",1363159,false,true,,false,1363158,1352,"fuliang",80,0,80,80,,,,,,
2020-04-24 15:39:48,"SP2K3K","a",1352,"fuliang","176.167.128.179","trade",1363158,true,true,,false,1363159,2,"synt",81,1000,80,80,,,,,,
2020-04-24 15:39:48,"SP2K3K","b",2,"synt","5.49.164.229","trade",1363160,false,true,,false,1362936,45320,"guillom",20,0,20,50,,,,,,
2020-04-24 15:39:48,"SP2K3K","b",45320,"guillom","88.125.208.193","trade",1362936,true,true,,false,1363160,2,"synt",20,0,20,50,,,,,,
2020-04-24 15:39:48,"SP2K3K","b",2,"synt","5.49.164.229","trade",1363160,false,true,,false,1362252,131083,"poetik",20,50,20,30,,,,,,
2020-04-24 15:39:48,"SP2K3K","b",131083,"poetik","178.195.151.99","trade",1362252,true,true,,false,1363160,2,"synt",20,0,20,30,,,,,,
2020-04-24 15:39:48,"SP2K3K","a",70237,"mmesoleil","148.106.154.38","trade",1362907,false,true,,false,1363158,1352,"fuliang",80,0,80,50,,,,,,
2020-04-24 15:39:48,"SP2K3K","a",1352,"fuliang","176.167.128.179","trade",1363158,true,true,,false,1362907,70237,"mmesoleil",81,1080,80,50,,,,,,
2020-04-24 15:39:48,"SP2K3K","a",21086,"xen","86.195.205.163","trade",1362971,false,true,,false,1363158,1352,"fuliang",79,0,79,30,,,,,,
2020-04-24 15:39:48,"SP2K3K","a",1352,"fuliang","176.167.128.179","trade",1363158,true,true,,false,1362971,21086,"xen",81,1130,79,30,,,,,,
2020-04-24 15:40:17,"SP2K3K","a",1352,"fuliang","176.167.128.179","orderCreate",1363163,false,true,,false,,,,83,242,,,,,,,,
2020-04-24 17:35:59,"SP2K3K","a",21086,"xen","86.195.205.163","orderCreate",1363182,false,true,,false,,,,81,30,,,,,,,,
2020-04-24 20:37:44,"SP2K3K","a",128783,"anthonypugliese","24.45.187.45","orderCreate",1363195,true,true,,false,,,,80,200,,,,,,,,
2020-04-24 21:35:57,"SP2K3K","a",128783,"anthonypugliese","24.45.187.45","orderCreate",1363204,true,true,,false,,,,81,30,,,,,,,,
2020-04-24 21:35:57,"SP2K3K","a",21086,"xen","86.195.205.163","trade",1363182,false,true,,false,1363204,128783,"anthonypugliese",81,0,81,30,,,,,,
2020-04-24 21:35:57,"SP2K3K","a",128783,"anthonypugliese","24.45.187.45","trade",1363204,true,true,,false,1363182,21086,"xen",81,0,81,30,,,,,,
2020-04-24 21:37:22,"SP2K3K","a",128783,"anthonypugliese","24.45.187.45","orderCancel",1363195,true,true,,false,,,,80,200,,,,,,,,
2020-04-24 21:37:36,"SP2K3K","a",128783,"anthonypugliese","24.45.187.45","orderCreate",1363205,true,true,,false,,,,82,100,,,,,,,,
2020-04-24 21:37:36,"SP2K3K","a",65535,"dm674","219.74.4.62","trade",1361523,false,true,,false,1363205,128783,"anthonypugliese",82,0,82,100,,,,,,
2020-04-24 21:37:36,"SP2K3K","a",128783,"anthonypugliese","24.45.187.45","trade",1363205,true,true,,false,1361523,65535,"dm674",82,0,82,100,,,,,,
2020-04-24 21:38:45,"SP2K3K","a",1352,"fuliang","176.167.128.179","trade",1363163,false,true,,false,1363206,128783,"anthonypugliese",83,0,83,242,,,,,,
2020-04-24 21:38:45,"SP2K3K","a",128783,"anthonypugliese","24.45.187.45","trade",1363206,true,true,,false,1363163,1352,"fuliang",83,0,83,242,,,,,,
2020-04-24 21:38:45,"SP2K3K","a",128783,"anthonypugliese","24.45.187.45","orderCreate",1363206,true,true,,false,,,,83,242,,,,,,,,
2020-04-24 23:24:49,"SP2K3K","a",2,"synt","5.49.164.229","trade",1363241,false,true,,false,1363240,129881,"gilbellosta",84,0,84,25,,,,,,
2020-04-24 23:24:49,"SP2K3K","a",129881,"gilbellosta","139.47.97.0","trade",1363240,true,true,,false,1363241,2,"synt",84,0,84,25,,,,,,
2020-04-24 23:24:49,"SP2K3K","b",2,"synt","5.49.164.229","trade",1363242,false,true,,false,1361501,3150,"mbmb",16,0,16,25,,,,,,
2020-04-24 23:24:49,"SP2K3K","b",3150,"mbmb","90.107.45.26","trade",1361501,true,true,,false,1363242,2,"synt",16,0,16,25,,,,,,
2020-04-24 23:24:49,"SP2K3K","a",15729,"pite","86.253.78.193","trade",1361470,false,true,,false,1363240,129881,"gilbellosta",84,0,84,5,,,,,,
2020-04-24 23:24:49,"SP2K3K","a",129881,"gilbellosta","139.47.97.0","trade",1363240,true,true,,false,1361470,15729,"pite",84,25,84,5,,,,,,
2020-04-24 23:24:49,"SP2K3K","a",129881,"gilbellosta","139.47.97.0","orderCreate",1363240,true,true,,false,,,,84,30,,,,,,,,
2020-04-24 23:25:36,"SP2K3K","a",129881,"gilbellosta","139.47.97.0","orderCreate",1363243,false,true,,false,,,,95,30,,,,,,,,
2020-04-25 03:48:37,"SP2K3K","a",1352,"fuliang","89.86.29.125","orderCreate",1363288,false,true,,false,,,,92,1000,,,,,,,,
2020-04-25 03:50:27,"SP2K3K","a",1352,"fuliang","89.86.29.125","orderCreate",1363289,true,true,,false,,,,77,250,,,,,,,,
2020-04-25 05:28:12,"SP2K3K","b",39619,"proxy","92.105.26.58","orderCreate",1363309,true,true,,false,,,,10,10000,,,,,,,,
